reform	target	spec_name	event_time	beta	se	tvalue	pvalue	n_event_obs	n_obs	r2	stars_cluster	N_event
haifa_comp	Haifa-Bayport terminal	baseline	-24	2.6622104089939396	2.1043977967527362e-14	126506994689975.23	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-23	2.7407284258101363	2.1551822517669923e-14	127169218453013.23	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-22	2.4252775575963006	1.9010662355886564e-14	127574595360972.5	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-21	2.486651882136271	6.304297551495244e-15	394437581954946.0	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-20	2.701563444876064	1.818553446054838e-14	148555625392084.25	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-19	2.6609798540708525	1.5309681626908882e-14	173810267183728.56	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-18	2.6771341666987287	3.00028770215837e-14	89229248407505.44	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-17	2.4866753886670483	3.3473395410848184e-14	74288113235777.62	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-16	2.5748783404791036	1.6747238674677432e-14	153749426427679.3	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-15	2.5810825683299843	1.3759345581047196e-14	187587596599455.7	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-14	2.513765418217683	1.2977946786064834e-14	193695155301211.2	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-13	2.7613449985092435	5.018379941596523e-15	550246300727633.4	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-12	2.6650255528633977	2.3583598836164054e-14	113003344882916.6	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-11	2.5793418137738175	4.420974367827894e-15	583432881344909.4	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-10	2.488525853022537	2.2458203731405444e-14	110806985402069.12	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-9	2.6055163937838937	1.1747885643817076e-14	221785985391778.12	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-8	2.6410360570863887	1.4762493220065483e-14	178901762576028.75	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-7	2.554860243528534	3.005828731840958e-14	84996866802979.06	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-6	2.636662651211464	1.0964361559802523e-14	240475711862511.1	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-5	2.726828012254867	4.503839635210519e-15	605445183024907.9	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-4	2.6302369579841516	3.679145679987814e-15	714904270382917.6	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-3	2.6711277717758772	2.3026271755871553e-14	116003485066780.6	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-2	-2.598072995795087	8.712814239577131e-15	-298189875780157.0	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	0	-4.38339105982706	3.912539400461427e-15	-1120344260126838.0	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	1	1.054868009030719	1.7991784287769824e-14	58630538925913.02	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	2	1.05486800903073	6.6944204852585716e-15	157574208455175.28	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	3	1.0548680090307263	7.053059356837992e-15	149561765421415.9	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	4	0.4284149524765037	1.8796985001490795e-14	22791684541032.832	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	5	0.4284149524765174	2.0879650978121515e-14	20518300469937.297	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	6	0.428414952476509	1.5002243560668012e-15	285567255820124.06	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	7	0.2785827002778496	8.982586843756532e-15	31013638401000.516	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	8	0.2785827002778509	1.1853294946292022e-14	23502553639315.105	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	9	0.2785827002778496	5.659701990025876e-15	49222149994610.57	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	10	-0.1621747226283059	7.746087091015117e-15	-20936341242072.594	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	11	-0.1621747226283068	1.307862654232622e-14	-12399981152719.855	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	12	-0.1621747226283174	1.236886593122096e-14	-13111527243493.111	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Bayport terminal	baseline	13	-0.0307910822537986	1.0259163401905756e-14	-3001324869051.1045	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-24	2.6622104089939396	2.129647019941195e-14	125007120150242.08	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-23	2.7407284258101363	2.1817508790551856e-14	125620594547303.12	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-22	2.425277557596302	2.1417668935834753e-14	113237232532737.2	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-21	2.486651882136271	6.047156875328145e-15	411210083251120.3	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-20	2.7015634448760633	1.326031494397218e-14	203732977405949.8	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-19	2.660979854070854	1.5365866586461163e-14	173174733692887.7	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-18	2.6771341666987287	3.0249351604766203e-14	88502200036476.45	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-17	2.4866753886670483	3.371369259203492e-14	73758618456838.56	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-16	2.5748783404791036	1.648475852549477e-14	156197516420812.8	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-15	2.581082568329984	1.0232292215700186e-14	252248715529217.6	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-14	2.513765418217683	1.3220167891673487e-14	190146255237873.2	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-13	2.7613449985092435	4.591691357432955e-15	601378617062147.1	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-12	2.6650255528633977	2.3308869251905412e-14	114335256852733.94	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-11	2.5793418137738167	4.354009975108502e-15	592406041446779.0	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-10	2.488525853022537	2.272753095466395e-14	109493893462803.22	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-9	2.605516393783894	1.1957085089700024e-14	217905649599191.8	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-8	2.6410360570863887	1.461030183832331e-14	180765331634618.44	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-7	2.554860243528534	3.0287528595810366e-14	84353539624290.94	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-6	2.6366626512114633	1.266482127703064e-14	208187908343673.72	0.0	1.0	91	1.0	***	1.0
haifa_comp	Haifa-Legacy terminal	baseline	-5	2.726828012254867	4.2465228705496346e-15	642131950157595.4	0.0	1.0	91	1.0	***	1.0
