design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-24	-24	-0.08849559502884724	8.557364005198494e-15	-10341455029269.205	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-23	-23	-0.020490687944144468	2.638970003411359e-15	-7764653602601.184	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-22	-22	-0.3244729304034655	3.723801229870823e-15	-87134868478122.62	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-21	-21	-0.2630049497713764	1.0623970030305196e-14	-24755806823734.145	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-20	-20	-0.051376722867478575	1.0493222862235881e-14	-4896181425096.626	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-19	-19	-0.09085012650428338	3.723801229870863e-15	-24397147134363.55	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-18	-18	-0.07469581387642721	7.683032111314627e-15	-9722179055639.293	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-17	-17	-0.2651545919081113	8.968100940422638e-15	-29566414748183.62	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-16	-16	-0.17540890266602643	5.444622457435156e-15	-32216908341640.6	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-15	-15	-0.170747412245163	6.732200546275673e-15	-25362793498423.383	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-14	-14	-0.23626699984983293	7.158140888836455e-15	-33006754619527.72	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-13	-13	0.009515017934104648	8.095497816166986e-15	1175346859473.278	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-12	-12	-0.0879131843008521	8.08254562087225e-16	-108769177960253.45	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-11	-11	-0.17248816680132956	3.2425355437370905e-15	-53195459070445.01	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-10	-10	-0.2633041275526105	4.161485559259962e-15	-63271666764941.016	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-9	-9	-0.14631358679124282	5.795534335168159e-15	-25245918379499.6	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-8	-8	-0.1106779255594117	1.2397269499773402e-14	-8927605031207.451	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-7	-7	-0.19287776005939927	8.168254173897527e-15	-23613094787838.44	0.0	1.0	76	1.0
