design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	39	0.45946998576032544	0.25533715266143925	0.07194533116011223	128	0.854413643845244	64	64	39	cluster
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	0.5778581130199325	0.257653118489036	0.02491129228233789	74	0.8429233044576566	37	37	12	cluster
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	0.5535801748100266	0.25629783260425626	0.030779660683941692	98	0.8553695481734344	49	49	24	cluster
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	25	-0.6263095498514044	0.10382166679973144	1.6139090298113173e-09	86	0.8735965852847198	36	50	25	cluster
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	12	-0.7525301092240229	0.1100612272308889	8.06562575090499e-12	60	0.8748659627521576	23	37	12	cluster
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	24	-0.6339945399097305	0.10413580266678929	1.1422178515152761e-09	84	0.8735929481562094	35	49	24	cluster
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	23	-0.3037072914633894	0.14442371421348818	0.03547532135408103	144	0.898391844992532	36	108	23	cluster
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	-0.07363466628764387	0.033504517863410355	0.027966687637609813	100	0.9703065379100189	25	75	12	cluster
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	23	-0.3037072914633894	0.14442371421348818	0.03547532135408103	144	0.898391844992532	36	108	23	cluster
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	23	-0.10641425002746233	0.18226379133271045	0.5593229501488883	144	0.8885000189551768	36	108	23	cluster
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	-0.04212258328051069	0.04108159444517103	0.30520300366356323	100	0.9699279590044805	25	75	12	cluster
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	23	-0.10641425002746233	0.18226379133271045	0.5593229501488883	144	0.8885000189551768	36	108	23	cluster
