design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-12	-12	-12	-1.8003799900321749				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-11	-11	-11	-1.8074033034229409				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-10	-10	-10	-1.817525985637861				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-9	-9	-9	-1.032794959935973				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	-8	-8	-1.048710269259841				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-7	-7	-7	-1.0672291721179892				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-6	-6	-6	-0.6166637568958713				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-5	-5	-5	-0.6396407412680059				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	-4	-4	-0.6644340763285257				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-3	-3	-3	0.0561162151614426				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-2	-2	-2	0.0285446460636507				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	0	0	0.0959597472061677				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	1	1	0.0987758495721206				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	2	2	2	0.1033605951000851				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	3	3	0.0337599040630133				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	4	4	4	0.0418902582844662				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	5	5	0.0517788580168024				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	6	6	6	0.0637823569613846				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	7	7	7	0.0771129595370038				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	8	8	8	0.0921103881334275				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-12	-12	-12	1.8003799900321678				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-11	-11	-11	1.8074033034229344				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-10	-10	-10	1.8175259856378467				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-9	-9	-9	1.0327949599359834				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	-8	-8	1.0487102692598498				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-7	-7	-7	1.0672291721179896				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-6	-6	-6	0.6166637568958659				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-5	-5	-5	0.6396407412680013				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	-4	-4	0.6644340763285292				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-3	-3	-3	-0.056116215161455				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-2	-2	-2	-0.0285446460636364				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	0	0	-0.0959597472061659				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	1	1	-0.0987758495721276				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	2	2	2	-0.1033605951000833				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	3	3	-0.0337599040630182				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	4	4	4	-0.0418902582844733				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	5	5	-0.0517788580168144				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	6	6	6	-0.0637823569613829				1.0	42	1.0
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	7	7	7	-0.077112959537018				1.0	42	1.0
